time,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7
8866818048.000000,0.339055,0.512441,0.239740,-1.234446,0.082761,1.778950,0.708569
8900186368.000000,0.339066,0.512446,0.239738,-1.234446,0.082761,1.778954,0.708574
8933253888.000000,0.339065,0.512444,0.239738,-1.234449,0.082761,1.778954,0.708578
8966643968.000000,0.339061,0.512438,0.239743,-1.234449,0.082760,1.778951,0.708573
8999939328.000000,0.339058,0.512441,0.239740,-1.234446,0.082760,1.778951,0.708572
9033309952.000000,0.339056,0.512446,0.239738,-1.234452,0.082760,1.778953,0.708571
9066545920.000000,0.339063,0.512446,0.239738,-1.234449,0.082760,1.778949,0.708575
9099950592.000000,0.339066,0.512441,0.239740,-1.234451,0.082760,1.778949,0.708568
9133298432.000000,0.339064,0.512441,0.239738,-1.234448,0.082761,1.778953,0.708571
9166460672.000000,0.339050,0.512449,0.239738,-1.234451,0.082760,1.778952,0.708576
9200075520.000000,0.339056,0.512445,0.239741,-1.234453,0.082760,1.778953,0.708569
9233368832.000000,0.339058,0.512443,0.239733,-1.234449,0.082760,1.778949,0.708566
9266647296.000000,0.339058,0.512443,0.239733,-1.234449,0.082760,1.778949,0.708566
9299989760.000000,0.339069,0.512441,0.239745,-1.234451,0.082761,1.778949,0.708567
9333298944.000000,0.339061,0.512449,0.239735,-1.234448,0.082760,1.778949,0.708573
9366775808.000000,0.339056,0.512441,0.239740,-1.234448,0.082761,1.778954,0.708574
9400266240.000000,0.339058,0.512441,0.239738,-1.234446,0.082760,1.778953,0.708577
9433629440.000000,0.339064,0.512444,0.239740,-1.234451,0.082761,1.778951,0.708571
9466907136.000000,0.339064,0.512444,0.239740,-1.234448,0.082759,1.778953,0.708570
9500190464.000000,0.339058,0.512446,0.239735,-1.234448,0.082760,1.778952,0.708575
9533285888.000000,0.339058,0.512441,0.239740,-1.234451,0.082760,1.778953,0.708571
9566827776.000000,0.339058,0.512446,0.239737,-1.234451,0.082759,1.778954,0.708571
9599986688.000000,0.339059,0.512446,0.239740,-1.234444,0.082760,1.778952,0.708568
9633285120.000000,0.339069,0.512446,0.239740,-1.234446,0.082759,1.778953,0.708572
9666918912.000000,0.339064,0.512446,0.239738,-1.234449,0.082761,1.778954,0.708571
9700000768.000000,0.339058,0.512443,0.239735,-1.234451,0.082762,1.778954,0.708573
9733300736.000000,0.339056,0.512444,0.239737,-1.234448,0.082761,1.778950,0.708571
9766705920.000000,0.339058,0.512446,0.239735,-1.234448,0.082760,1.778953,0.708573
